channel_ID,name,description,owner_ID,subscribers
1,Background Music Channel,a variety of different white noise and background music,1,30000
2,G4mer,I play video games and make commentary,2,1500000
3,Animal Videos,I create daily cute animal video compilations,3,600000
4,Rick Astley,"English singer, songwriter and radio personality",4,7500000
5,Coding for Fun,It's easy to learn how to code! And fun!,1,500000
6,World Traveler,I travel the world and provide recommendations,5,1200000
7,Safiya Nygaard,Unique makeup and fashion challenges,6,9000000
8,Jim Ryan,I'm Just a Big UVA Fan (and the president too),7,120
9,Forge,We provide career tips for college students,9,1000
10,Pr@nk Vidz,I like to prank people,7,100000000
11,Cannon Johns,Teaching you useful data science skills,9,220000
12,MLM Girlie,How to be a #girlboss and make your own money!,8,6900
13,Ms. Kathy,Giving UVA students the motivation they need,10,10000
14,Vine Complations,Weekly vine complations because tiktok < vine,3,2000000
15,True Crime News,Keeping viewers up to date on the latest crime cases,7,1265000
